'func','type','sim','file count','throughput (byte/sec)','elapsed_time','bytes'
get_dHdl_XVG,total,unres2res_state_26_x1,14,14589356.68821878,3.5674026012420654,52046109
get_dHdl_XVG,total,unres2res_state_30_x1,11,15291918.174830727,3.4295148849487305,52443861
get_dHdl_XVG,total,unres2res_state_40_x1,19,12787166.363624196,4.111476421356201,52574133
get_dHdl_XVG,total,unres2res_state_32_x1,17,12823379.779162673,4.060290336608887,52066645
get_dHdl_XVG,total,unres2res_state_24_x1,14,13692458.332950244,3.7779152393341064,51728947
get_dHdl_XVG,total,unres2res_state_20_x1,13,15164478.321602885,3.370048999786377,51105035
get_dHdl_XVG,total,unres2res_state_18_x1,15,12187158.429603262,4.181349515914917,50958769
get_dHdl_XVG,total,unres2res_state_8_x1,17,13441910.613182962,3.6706368923187256,49340373
get_dHdl_XVG,total,unres2res_state_36_x1,16,13381932.101215227,3.9313266277313232,52608746
get_dHdl_XVG,total,unres2res_state_34_x1,20,11170581.05864876,4.681717157363892,52297501
get_dHdl_XVG,total,unres2res_state_22_x1,16,14591752.82594824,3.5258278846740723,51448009
get_dHdl_XVG,total,unres2res_state_2_x1,23,8474209.062408581,5.653189182281494,47906307
get_dHdl_XVG,total,unres2res_state_12_x1,14,13619334.749110566,3.67518949508667,50053636
get_dHdl_XVG,total,unres2res_state_10_x1,22,10832490.942659054,4.586479902267456,49683002
get_dHdl_XVG,total,unres2res_state_28_x1,13,14639444.264759261,3.5709612369537354,52276888
get_dHdl_XVG,total,unres2res_state_0_x1,16,12713282.007676654,3.7441203594207764,47600058
get_dHdl_XVG,total,unres2res_state_4_x1,22,10038129.528001083,4.842242956161499,48607062
get_dHdl_XVG,total,unres2res_state_14_x1,8,15746069.061152475,3.1707100868225098,49926220
get_dHdl_XVG,total,unres2res_state_16_x1,17,12935724.202180205,3.9020419120788574,50475738
get_dHdl_XVG,total,unres2res_state_6_x1,18,12187260.405088741,4.010134220123291,48872550
